timestamp,payload
2026-06-30T17:19:46.020562,"{""temp"":27.0,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:19:47.019997,"{""temp"":27.0,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:19:48.020196,"{""temp"":27.0,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:19:49.019957,"{""temp"":27.0,""humidity"":50.7,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:19:50.020274,"{""temp"":27.0,""humidity"":50.7,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:14.039058,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:15.066397,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:16.039571,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:17.079754,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:18.040892,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:19.211025,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:20.039776,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:21.047268,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:22.040118,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:23.040365,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:24.040313,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:25.040147,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:26.040151,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:27.039965,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:28.057317,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:29.040858,"{""temp"":27.1,""humidity"":50.9,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:30.049943,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:31.060505,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.5,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:32.060059,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
2026-06-30T17:20:33.071254,"{""temp"":27.1,""humidity"":50.8,""pressure"":1016.6,""state"":""IDLE"",""faults"":0}"
